# Vertices
vertex
Moscow
SPb
Kazan
Novosibirsk
Vladivostok
Sochi
Ekaterinburg
Krasnoyarsk
Irkutsk
Khabarovsk
Yakutsk

# Edges (source,target,weight)
source,target,weight
Moscow,SPb,7
Moscow,Kazan,8
Moscow,Sochi,15
Moscow,Ekaterinburg,17
Moscow,Novosibirsk,28
Moscow,Vladivostok,70
SPb,Moscow,7
SPb,Kazan,10
Kazan,Moscow,8
Kazan,Ekaterinburg,9
Kazan,Sochi,13
Kazan,SPb,10
Novosibirsk,Ekaterinburg,15
Novosibirsk,Krasnoyarsk,7
Novosibirsk,Yakutsk,28
Novosibirsk,Moscow,28
Vladivostok,Khabarovsk,7
Vladivostok,Moscow,70
Sochi,Moscow,15
Sochi,Kazan,13
Sochi,Ekaterinburg,20
Ekaterinburg,Moscow,17
Ekaterinburg,Kazan,9
Ekaterinburg,Novosibirsk,15
Ekaterinburg,Sochi,20
Krasnoyarsk,Novosibirsk,7
Krasnoyarsk,Irkutsk,10
Krasnoyarsk,Yakutsk,18
Irkutsk,Krasnoyarsk,10
Irkutsk,Yakutsk,14
Irkutsk,Khabarovsk,30
Khabarovsk,Irkutsk,30
Khabarovsk,Vladivostok,7
Yakutsk,Irkutsk,14
Yakutsk,Novosibirsk,28
Yakutsk,Krasnoyarsk,18
